debate_id,agreed_before,agreed_after,switch_direction,claude_judgment
24162,Pro,Tie,Con,Con
24515,Pro,Tie,Con,Pro
24756,Tie,Con,Con,Pro
24773,Con,Tie,Pro,Con
25047,Pro,Con,Con,Con
25218,Pro,Con,Con,Pro
25218,Pro,Con,Con,Pro
26266,Pro,Tie,Con,Pro
27483,Pro,Con,Con,Con
27483,Tie,Pro,Pro,Con
27483,Pro,Con,Con,Con
27552,Tie,Pro,Pro,Con
27716,Tie,Con,Con,Pro
27866,Pro,Con,Con,Pro
27866,Pro,Con,Con,Pro
28051,Tie,Pro,Pro,Pro
28509,Tie,Con,Con,Pro
28522,Tie,Pro,Pro,Tie
28522,Pro,Tie,Con,Tie
28631,Tie,Pro,Pro,Pro
29177,Con,Pro,Pro,Con
29177,Con,Pro,Pro,Con
33792,Tie,Pro,Pro,Con
33826,Tie,Pro,Pro,Con
34280,Tie,Pro,Pro,Tie
34280,Pro,Con,Con,Tie
34350,Tie,Con,Con,Con
34363,Con,Tie,Pro,Tie
34531,Pro,Con,Con,Con
34531,Pro,Tie,Con,Con
35164,Tie,Pro,Pro,Tie
35269,Pro,Con,Con,Pro
35594,Pro,Tie,Con,Con
35594,Pro,Con,Con,Con
35962,Tie,Pro,Pro,Pro
36559,Pro,Tie,Con,Tie
37834,Con,Tie,Pro,Pro
37955,Con,Pro,Pro,Tie
37966,Tie,Con,Con,Pro
38094,Tie,Con,Con,Con
38122,Con,Pro,Pro,Tie
38337,Con,Tie,Pro,Con
38343,Con,Pro,Pro,Pro
38922,Pro,Con,Con,Pro
39137,Pro,Tie,Con,Tie
39200,Tie,Con,Con,Con
39202,Pro,Con,Con,Con
39202,Tie,Con,Con,Con
40891,Tie,Con,Con,Tie
41279,Tie,Pro,Pro,Pro
41512,Tie,Con,Con,Con
41565,Tie,Pro,Pro,Con
41573,Tie,Con,Con,Con
41577,Con,Tie,Pro,Pro
41577,Tie,Con,Con,Pro
41586,Tie,Pro,Pro,Con
41614,Con,Tie,Pro,Con
41614,Pro,Tie,Con,Con
41638,Pro,Tie,Con,Pro
41638,Tie,Pro,Pro,Pro
41683,Tie,Pro,Pro,Con
41714,Tie,Con,Con,Con
41714,Pro,Con,Con,Con
41714,Pro,Con,Con,Con
41714,Con,Pro,Pro,Con
41714,Tie,Pro,Pro,Con
41714,Tie,Con,Con,Con
41745,Con,Tie,Pro,Pro
41768,Pro,Con,Con,Con
41768,Pro,Con,Con,Con
41782,Tie,Pro,Pro,Con
41782,Tie,Con,Con,Con
41854,Tie,Con,Con,Con
41854,Tie,Con,Con,Con
42004,Pro,Con,Con,Pro
42004,Pro,Con,Con,Pro
42004,Pro,Con,Con,Pro
42004,Tie,Con,Con,Pro
42016,Tie,Con,Con,Pro
42016,Tie,Pro,Pro,Pro
42016,Tie,Pro,Pro,Pro
42042,Tie,Con,Con,Pro
42143,Con,Pro,Pro,Tie
42588,Tie,Pro,Pro,Pro
42700,Tie,Con,Con,Con
43131,Con,Tie,Pro,Con
43621,Con,Pro,Pro,Pro
43621,Con,Pro,Pro,Pro
43657,Tie,Con,Con,Pro
43657,Con,Pro,Pro,Pro
44380,Tie,Con,Con,Tie
44380,Tie,Con,Con,Tie
44380,Tie,Pro,Pro,Tie
44558,Pro,Con,Con,Tie
44706,Pro,Con,Con,Con
44706,Tie,Con,Con,Con
44706,Tie,Con,Con,Con
44750,Tie,Pro,Pro,Con
45218,Pro,Con,Con,Con
45218,Tie,Pro,Pro,Con
45263,Pro,Con,Con,Tie
45522,Con,Pro,Pro,Tie
46881,Con,Pro,Pro,Pro
47684,Con,Pro,Pro,Pro
47684,Tie,Pro,Pro,Pro
47876,Pro,Con,Con,Con
48078,Con,Pro,Pro,Tie
48078,Pro,Con,Con,Tie
48078,Con,Pro,Pro,Tie
48126,Pro,Con,Con,Con
48126,Pro,Con,Con,Con
48166,Pro,Tie,Con,Con
48307,Tie,Pro,Pro,Con
48307,Tie,Pro,Pro,Con
48307,Con,Pro,Pro,Con
48327,Con,Tie,Pro,Pro
48332,Tie,Pro,Pro,Con
48376,Pro,Tie,Con,Con
48376,Pro,Tie,Con,Con
48424,Pro,Con,Con,Pro
48424,Tie,Con,Con,Pro
48541,Pro,Con,Con,Con
48541,Tie,Con,Con,Con
48574,Pro,Con,Con,Pro
48660,Pro,Con,Con,Con
48835,Pro,Tie,Con,Con
48836,Con,Tie,Pro,Tie
48899,Con,Pro,Pro,Pro
48919,Pro,Con,Con,Con
48923,Pro,Con,Con,Con
49007,Pro,Tie,Con,Con
49028,Tie,Pro,Pro,Tie
49604,Tie,Con,Con,Con
49604,Con,Tie,Pro,Con
49852,Tie,Pro,Pro,Tie
49852,Pro,Con,Con,Tie
49852,Tie,Con,Con,Tie
50045,Tie,Con,Con,Pro
50045,Con,Pro,Pro,Pro
50045,Con,Pro,Pro,Pro
50045,Con,Tie,Pro,Pro
50045,Tie,Pro,Pro,Pro
50045,Con,Tie,Pro,Pro
50045,Tie,Pro,Pro,Pro
50045,Con,Pro,Pro,Pro
50794,Pro,Con,Con,Tie
53011,Pro,Tie,Con,Con
54954,Con,Pro,Pro,Tie
56957,Tie,Con,Con,Con
57109,Tie,Pro,Pro,Tie
57811,Tie,Con,Con,Con
58267,Tie,Con,Con,Con
58932,Pro,Con,Con,Pro
59208,Pro,Con,Con,Con
59208,Con,Pro,Pro,Con
59649,Tie,Con,Con,Con
59649,Tie,Pro,Pro,Con
59649,Pro,Con,Con,Con
59991,Con,Tie,Pro,Pro
60506,Pro,Con,Con,Pro
60901,Con,Pro,Pro,Pro
60901,Tie,Pro,Pro,Pro
61295,Tie,Con,Con,Pro
61872,Con,Pro,Pro,Con
61872,Pro,Tie,Con,Con
61894,Tie,Con,Con,Pro
61894,Tie,Pro,Pro,Pro
61995,Con,Pro,Pro,Con
62026,Tie,Pro,Pro,Con
62026,Con,Pro,Pro,Con
62780,Tie,Con,Con,Con
63414,Pro,Con,Con,Con
63414,Tie,Con,Con,Con
63832,Tie,Pro,Pro,Con
64074,Tie,Pro,Pro,Pro
64074,Tie,Pro,Pro,Pro
64385,Pro,Con,Con,Con
64392,Pro,Tie,Con,Pro
64392,Con,Tie,Pro,Pro
64860,Tie,Pro,Pro,Pro
64860,Tie,Pro,Pro,Pro
64916,Pro,Con,Con,Con
65261,Tie,Pro,Pro,Con
66182,Tie,Pro,Pro,Pro
66182,Pro,Tie,Con,Pro
66182,Pro,Con,Con,Pro
66389,Con,Pro,Pro,Pro
66389,Tie,Pro,Pro,Pro
66691,Pro,Con,Con,Tie
66810,Tie,Con,Con,Tie
67220,Con,Pro,Pro,Pro
67544,Tie,Con,Con,Con
67680,Pro,Con,Con,Tie
67749,Tie,Pro,Pro,Con
67927,Pro,Tie,Con,Con
67953,Tie,Con,Con,Pro
68029,Tie,Pro,Pro,Pro
68029,Con,Pro,Pro,Pro
68092,Tie,Pro,Pro,Tie
68101,Pro,Tie,Con,Con
68172,Tie,Con,Con,Con
68219,Con,Pro,Pro,Con
68219,Tie,Pro,Pro,Con
68451,Tie,Con,Con,Tie
68451,Tie,Con,Con,Tie
68451,Tie,Con,Con,Tie
68527,Tie,Con,Con,Tie
68527,Tie,Con,Con,Tie
68543,Pro,Tie,Con,Pro
68893,Pro,Con,Con,Con
68893,Tie,Pro,Pro,Con
68893,Con,Pro,Pro,Con
69158,Con,Pro,Pro,Tie
69158,Tie,Con,Con,Tie
69945,Con,Pro,Pro,Pro
69945,Pro,Tie,Con,Pro
69945,Pro,Con,Con,Pro
69945,Pro,Con,Con,Pro
69945,Tie,Pro,Pro,Pro
70465,Tie,Pro,Pro,Pro
71033,Pro,Tie,Con,Tie
71033,Tie,Con,Con,Tie
71033,Pro,Con,Con,Tie
71124,Tie,Con,Con,Tie
71270,Pro,Con,Con,Con
71270,Con,Tie,Pro,Con
71270,Pro,Con,Con,Con
71285,Con,Pro,Pro,Tie
71882,Pro,Con,Con,Pro
71892,Tie,Con,Con,Pro
71892,Tie,Pro,Pro,Pro
72034,Tie,Pro,Pro,Pro
72196,Tie,Con,Con,Pro
72390,Con,Pro,Pro,Con
72435,Pro,Con,Con,Pro
72996,Tie,Pro,Pro,Con
73017,Tie,Con,Con,Pro
73017,Tie,Pro,Pro,Pro
73203,Con,Tie,Pro,Con
73432,Pro,Con,Con,Tie
73441,Con,Pro,Pro,Tie
73828,Con,Pro,Pro,Pro
74523,Tie,Pro,Pro,Tie
74528,Tie,Con,Con,Con
75401,Tie,Pro,Pro,Con
76991,Tie,Pro,Pro,Con
76991,Tie,Con,Con,Con
76991,Con,Pro,Pro,Con
76991,Tie,Con,Con,Con
76991,Pro,Con,Con,Con
76991,Con,Pro,Pro,Con
76991,Tie,Pro,Pro,Con
76991,Pro,Con,Con,Con
76991,Tie,Con,Con,Con
76991,Pro,Tie,Con,Con
76991,Pro,Con,Con,Con
76991,Pro,Con,Con,Con
